ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,EMPLOYMENT_PERIOD,STATUS_y,Code
5008804,0,1,1,0,4.275,4,1,0,4,12,2.0,32.89,12.44,1,1
5008805,0,1,1,0,4.275,4,1,0,4,12,2.0,32.89,12.44,1,2
5008806,0,1,1,0,1.125,4,4,1,1,17,2.0,58.83,3.11,0,3
5008808,1,0,1,0,2.7,0,4,3,1,15,1.0,52.36,8.36,1,4
5008809,1,0,1,0,2.7,0,4,3,1,15,1.0,52.36,8.36,1,5
5008810,1,0,1,0,2.7,0,4,3,1,15,1.0,52.36,8.36,0,6
5008811,1,0,1,0,2.7,0,4,3,1,15,1.0,52.36,8.36,0,7
5008812,1,0,1,0,2.835,1,1,2,1,12,1.0,61.55,-1000.67,0,8
5008813,1,0,1,0,2.835,1,1,2,1,12,1.0,61.55,-1000.67,0,9
5008814,1,0,1,0,2.835,1,1,2,1,12,1.0,61.55,-1000.67,0,10
5008815,0,1,1,0,2.7,4,1,1,1,0,2.0,46.22,2.11,0,11
5112956,0,1,1,0,2.7,4,1,1,1,0,2.0,46.22,2.11,0,12
5008819,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,1,13
5008820,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,1,14
5008821,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,0,15
5008822,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,1,16
5008823,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,0,17
5008824,0,1,1,0,1.35,0,4,1,1,8,2.0,48.71,3.27,0,18
5008825,1,1,0,0,1.305,4,2,1,1,0,2.0,29.23,3.02,0,19
5008826,1,1,0,0,1.305,4,2,1,1,0,2.0,29.23,3.02,0,20
5008830,1,0,1,0,1.575,4,4,1,1,8,2.0,27.48,4.02,0,21
5008831,1,0,1,0,1.575,4,4,1,1,8,2.0,27.48,4.02,0,22
5008832,1,0,1,0,1.575,4,4,1,1,8,2.0,27.48,4.02,0,23
5008834,1,0,1,1,1.125,4,4,3,1,12,2.0,30.05,4.44,0,24
5008835,1,0,1,1,1.125,4,4,3,1,12,2.0,30.05,4.44,0,25
5008836,0,1,1,3,2.7,4,4,1,1,8,5.0,34.76,3.19,1,26
5008837,0,1,1,3,2.7,4,4,1,1,8,5.0,34.76,3.19,1,27
5008838,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,28
5008839,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,29
5008840,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,30
5008841,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,31
5008842,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,32
5008843,0,0,1,1,4.05,0,1,1,1,10,3.0,32.44,5.52,0,33
5008844,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,34
5008846,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,35
5008847,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,36
5008849,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,37
5008850,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,38
5008851,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,39
5008852,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,1,40
5008853,0,1,1,0,1.125,0,4,1,1,4,2.0,56.17,12.19,0,41
5008854,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,42
5008855,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,43
5008856,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,44
5008857,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,45
5008858,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,46
5008859,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,47
5008860,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,48
5008861,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,0,49
5008862,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,50
5008863,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,51
5008864,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,52
5008865,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,53
5008866,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,54
5008867,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,55
5112846,1,1,1,2,1.35,4,4,1,1,8,4.0,43.18,8.69,1,56
5008868,1,0,1,1,2.115,2,4,0,1,3,3.0,44.42,19.45,0,57
5008870,1,0,1,1,2.115,2,4,0,1,3,3.0,44.42,19.45,0,58
5008872,0,1,1,0,3.6,0,4,1,1,17,2.0,45.67,14.7,0,59
5008873,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,60
5008874,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,61
5008875,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,62
5008876,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,63
5008877,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,64
5008878,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,65
5008879,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,66
5008880,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,67
5008881,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,68
5008882,1,0,1,2,1.26,0,1,1,1,10,4.0,34.0,4.86,0,69
5008884,1,0,1,0,3.15,1,4,4,1,12,1.0,55.3,-1000.67,0,70
5008888,1,0,1,0,2.475,0,1,2,4,3,1.0,46.62,3.69,0,71
5008889,1,0,1,0,2.475,0,1,2,4,3,1.0,46.62,3.69,0,72
5008890,1,0,1,0,2.475,0,1,2,4,3,1.0,46.62,3.69,0,73
5112847,1,0,1,0,2.475,0,1,2,4,3,1.0,46.62,3.69,0,74
5008891,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,75
5008892,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,76
5008893,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,77
5008894,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,78
5008895,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,79
5008896,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,80
5008897,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,81
5008898,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,82
5008899,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,83
5008900,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,84
5008901,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,85
5008902,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,86
5008903,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,87
5008904,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,88
5008905,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,89
5008906,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,90
5008907,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,91
5008908,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,92
5008909,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,93
5008910,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,94
5008911,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,95
5008912,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,96
5008913,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,97
5008914,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,98
5008915,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,99
5008916,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,100
5008917,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,101
5008918,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,102
5008919,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,103
5008920,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,104
5008921,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,105
5008922,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,106
5008923,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,107
5008924,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,108
5008925,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,109
5008926,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,110
5008927,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,111
5008928,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,112
5008929,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,113
5008930,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,114
5008931,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,115
5008932,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,0,116
5008933,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,117
5008934,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,118
5008935,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,119
5008936,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,120
5008937,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,121
5008938,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,122
5008939,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,123
5008940,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,124
5008941,1,0,1,0,2.97,0,4,3,4,8,1.0,42.52,8.86,1,125
5008942,1,0,0,0,1.575,0,1,1,1,6,2.0,37.38,13.28,0,126
5008943,1,0,0,0,1.575,0,1,1,1,6,2.0,37.38,13.28,1,127
5008944,1,0,0,0,1.575,0,1,1,1,6,2.0,37.38,13.28,0,128
5008945,1,0,0,0,1.575,0,1,1,1,6,2.0,37.38,13.28,0,129
5008946,1,0,0,0,1.575,0,1,1,1,6,2.0,37.38,13.28,0,130
5008947,0,0,1,0,1.35,4,4,1,1,4,2.0,42.42,3.86,1,131
5008948,0,0,1,0,1.35,4,4,1,1,4,2.0,42.42,3.86,1,132
5008949,0,0,1,0,1.35,4,4,1,1,4,2.0,42.42,3.86,1,133
5008950,0,0,1,0,1.35,4,4,1,1,4,2.0,42.42,3.86,1,134
5008951,0,0,1,1,2.25,4,4,1,1,12,3.0,28.28,7.69,0,135
5008952,0,0,1,1,2.25,4,4,1,1,12,3.0,28.28,7.69,1,136
5008953,0,0,1,1,2.25,4,4,1,1,12,3.0,28.28,7.69,1,137
5008954,0,0,1,1,2.25,4,4,1,1,12,3.0,28.28,7.69,0,138
5008955,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,139
5008956,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,140
5008957,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,141
5008958,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,142
5008959,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,143
5008960,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,144
5008962,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,145
5008963,1,1,1,0,1.35,4,4,1,1,8,2.0,48.73,4.69,0,146
5008966,0,0,1,0,1.575,4,4,1,1,12,2.0,43.91,2.44,0,147
5008967,0,0,1,0,1.575,4,4,1,1,12,2.0,43.91,2.44,0,148
5008971,0,0,1,0,1.575,4,4,1,1,12,2.0,43.91,2.44,0,149
5008973,0,0,1,0,1.575,4,4,1,1,12,2.0,43.91,2.44,0,150
5008974,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,1,151
5008975,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,0,152
5008976,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,1,153
5008977,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,0,154
5008978,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,0,155
5008979,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,0,156
5008980,1,0,1,0,1.125,1,4,1,1,12,2.0,61.15,-1000.67,0,157
5008981,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,1,158
5008983,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,1,159
5008984,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,1,160
5008986,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,1,161
5008987,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,0,162
5008988,0,1,1,0,1.125,2,4,1,1,4,2.0,57.19,6.52,1,163
5008991,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,0,164
5008992,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,1,165
5008993,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,0,166
5008994,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,0,167
5008995,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,0,168
5112861,1,1,1,0,2.7,4,4,2,1,1,1.0,45.43,3.27,0,169
5008998,1,1,1,0,2.7,4,1,1,1,10,2.0,29.12,2.27,1,170
5008999,1,1,1,0,2.7,4,1,1,1,10,2.0,29.12,2.27,1,171
