ID,MONTHS_BALANCE,Months_from_Today,STATUS_y
5001711,0,0,0
5001712,0,0,0
5001713,0,0,1
5001714,0,0,1
5001715,0,0,1
5001717,0,0,0
5001718,0,0,0
5001719,0,0,1
5001720,0,0,0
5001723,0,0,0
5001724,0,0,1
5001725,0,0,0
5001726,0,0,0
5001728,0,0,1
5001729,0,0,0
5001730,0,0,0
5001731,0,0,1
5001732,0,0,1
5001733,0,0,1
5001734,0,0,0
5001735,0,0,1
5001736,0,0,0
5001737,0,0,0
5001738,0,0,0
5001739,0,0,0
5001742,0,0,0
5001743,0,0,1
5001744,0,0,0
5001745,0,0,0
5001746,0,0,0
5001747,0,0,0
5001748,0,0,0
5001754,0,0,1
5001755,0,0,0
5001756,0,0,1
5001757,0,0,0
5001758,0,0,0
5001759,0,0,0
5001760,0,0,0
5001765,0,0,0
5001766,0,0,1
5001767,0,0,1
5001768,0,0,0
5001769,0,0,0
5001770,0,0,0
5001771,0,0,0
5001772,0,0,0
5001773,0,0,0
5001774,0,0,1
5001775,0,0,0
5001778,0,0,1
5001779,0,0,1
5001780,0,0,1
5001782,0,0,0
5001783,0,0,0
5001784,0,0,0
5001785,0,0,0
5001786,0,0,0
5001787,-1,1,1
5001788,-1,1,1
5001789,0,0,1
5001790,0,0,0
5001791,0,0,0
5001792,0,0,0
5001793,0,0,0
5001794,0,0,0
5001795,0,0,1
5001796,0,0,1
5001798,0,0,0
5001800,0,0,0
5001803,0,0,1
5001804,0,0,0
5001805,0,0,0
5001806,0,0,0
5001807,0,0,0
5001808,0,0,0
5001812,0,0,0
5001813,0,0,1
5001816,0,0,0
5001817,0,0,0
5001818,0,0,0
5001819,0,0,1
5001820,0,0,1
5001821,0,0,0
5001823,0,0,0
5001824,-1,1,0
5001825,0,0,0
5001827,0,0,1
5001828,0,0,0
5001829,0,0,0
5001830,0,0,1
5001831,0,0,0
5001832,0,0,0
5001833,0,0,0
5001836,0,0,0
5001837,0,0,0
5001838,0,0,0
5001839,0,0,0
5001840,0,0,0
5001841,0,0,1
5001842,0,0,0
5001843,0,0,0
5001844,0,0,0
5001846,0,0,0
5001847,0,0,0
5001848,0,0,0
5001849,0,0,0
5001850,0,0,0
5001851,0,0,1
5001852,0,0,1
5001853,0,0,0
5001854,0,0,0
5001855,0,0,0
5001856,0,0,0
5001857,0,0,0
5001858,0,0,0
5001859,-1,1,0
5001860,0,0,1
5001861,0,0,1
5001862,0,0,1
5001863,0,0,1
5001864,0,0,1
5001867,0,0,1
5001870,0,0,1
5001871,0,0,1
5001872,0,0,1
5001873,0,0,0
5001874,0,0,0
5001875,0,0,1
5001876,0,0,0
5001877,0,0,0
5001879,0,0,1
5001882,0,0,1
5001883,0,0,0
5001886,0,0,0
5001887,0,0,1
5001888,0,0,0
5001889,0,0,0
5001890,0,0,0
5001891,0,0,0
5001892,0,0,1
5001893,0,0,0
5001894,0,0,0
5001895,0,0,0
5001896,0,0,0
5001897,0,0,0
5001898,0,0,0
5001899,0,0,0
5001900,0,0,0
5001901,0,0,0
5001902,0,0,0
5001904,0,0,1
5001905,0,0,0
5001906,0,0,0
5001907,0,0,0
5001908,0,0,1
5001909,0,0,1
5001910,0,0,1
5001911,0,0,1
5001912,0,0,1
5001913,0,0,1
5001914,0,0,1
5001915,0,0,1
5001916,0,0,1
5001917,0,0,1
5001918,0,0,0
5001919,0,0,0
5001920,0,0,0
5001921,0,0,0
5001922,0,0,0
5001923,0,0,0
5001924,0,0,1
5001925,0,0,1
5001926,0,0,0
5001927,0,0,0
5001931,0,0,0
5001932,0,0,0
5001933,0,0,1
5001936,0,0,0
5001940,0,0,0
5001941,0,0,0
5001942,0,0,0
5001943,0,0,0
5001944,0,0,0
5001945,0,0,0
5001946,0,0,0
5001947,0,0,0
5001948,0,0,0
5001949,0,0,1
5001950,0,0,1
5001951,0,0,0
5001952,0,0,0
5001953,0,0,0
5001954,0,0,1
5001956,0,0,0
5001957,0,0,0
5001958,0,0,1
5001959,0,0,0
5001960,0,0,0
5001961,0,0,0
5001962,0,0,1
5001963,0,0,1
5001964,0,0,0
5001965,0,0,0
5001966,0,0,0
5001967,0,0,0
5001968,0,0,0
5001970,0,0,0
5001976,0,0,1
5001982,0,0,1
5001983,0,0,0
5001986,0,0,0
5001987,0,0,0
5001988,0,0,0
5001989,0,0,0
5001990,0,0,1
5001991,0,0,0
5001993,0,0,1
5001994,0,0,1
5001995,0,0,1
5001996,-1,1,1
5001997,0,0,1
5001998,0,0,0
5001999,0,0,0
5002000,0,0,0
5002001,0,0,0
5002002,0,0,0
5002003,0,0,0
5002004,0,0,1
5002005,0,0,1
5002006,0,0,0
5002007,0,0,1
5002008,0,0,0
5002009,0,0,0
5002010,0,0,0
5002011,0,0,0
5002012,0,0,0
5002013,0,0,0
5002015,0,0,0
5002016,0,0,0
5002018,0,0,1
5002019,0,0,0
5002020,0,0,1
5002021,0,0,0
5002022,0,0,0
5002023,0,0,0
5002024,0,0,1
5002025,0,0,0
5002026,0,0,0
5002028,0,0,0
5002029,0,0,0
5002030,0,0,0
5002031,0,0,0
5002032,0,0,1
5002033,0,0,1
5002034,0,0,1
5002035,0,0,1
5002037,0,0,1
5002038,0,0,0
5002039,0,0,0
5002041,-1,1,0
5002042,0,0,0
5002043,0,0,0
5002044,0,0,0
5002046,0,0,1
5002047,0,0,0
5002048,0,0,0
5002049,0,0,0
5002050,0,0,0
5002052,0,0,1
5002053,-1,1,1
5002054,0,0,1
5002055,0,0,1
5002057,0,0,0
5002058,0,0,0
5002059,0,0,0
5002060,0,0,0
5002061,0,0,0
5002062,0,0,0
5002068,0,0,0
5002069,0,0,1
5002070,0,0,0
5002071,0,0,0
5002072,0,0,0
5002073,0,0,0
5002076,0,0,1
5002077,0,0,1
5002078,0,0,0
5002079,0,0,0
5002080,0,0,0
5002081,0,0,0
5002082,0,0,0
5002083,0,0,0
5002084,0,0,0
5002085,0,0,0
5002087,0,0,0
5002088,0,0,1
5002091,0,0,0
5002094,0,0,0
5002096,0,0,1
5002097,0,0,0
5002098,0,0,0
5002101,0,0,1
5002104,0,0,0
5002105,0,0,0
5002106,0,0,1
5002107,0,0,0
5002108,0,0,0
5002109,0,0,0
5002110,0,0,0
5002111,0,0,0
5002112,0,0,1
5002113,0,0,1
5002114,0,0,1
5002115,0,0,1
5002116,0,0,0
5002118,0,0,0
5002120,0,0,0
5002121,0,0,0
5002123,0,0,0
5002124,0,0,0
5002126,0,0,0
5002128,0,0,0
5002130,0,0,0
5002131,0,0,0
5002134,0,0,0
5002135,0,0,1
5002138,0,0,0
5002140,0,0,0
5002141,0,0,0
5002142,0,0,0
5002144,0,0,0
5002145,0,0,0
5002146,0,0,0
5002147,0,0,1
5002148,0,0,0
5002149,0,0,0
5002150,0,0,0
5002151,0,0,1
5002152,0,0,1
5002153,0,0,1
5002154,0,0,0
5002155,0,0,0
5002156,0,0,0
5002157,0,0,0
5002158,0,0,0
5002160,0,0,0
5002161,0,0,0
5002162,0,0,0
5002163,0,0,0
5002164,0,0,0
5002165,0,0,0
5002168,0,0,0
5002169,0,0,0
5002170,-1,1,0
5002171,0,0,0
5002175,0,0,1
5002176,0,0,1
5002177,0,0,1
5002178,0,0,1
5002179,0,0,1
5002181,0,0,0
5002182,0,0,0
5002183,0,0,0
5002186,0,0,0
5002189,0,0,0
5002190,0,0,0
5002191,0,0,0
5002192,0,0,0
5002194,0,0,0
5002196,0,0,0
5002197,0,0,0
5002198,-1,1,1
5002199,0,0,1
5002200,0,0,1
5002201,0,0,0
5002202,0,0,0
5002203,-1,1,0
5002204,0,0,0
5002205,0,0,1
5002206,0,0,0
5002207,0,0,0
5002208,0,0,0
5002209,0,0,0
5002216,0,0,0
5002217,0,0,0
5002218,0,0,0
5002219,0,0,0
5002220,0,0,0
5002221,0,0,0
5002222,0,0,0
5002223,0,0,1
5002224,0,0,1
5002225,0,0,0
5002226,0,0,1
5002227,0,0,0
5002228,0,0,1
5002229,0,0,1
5002230,0,0,0
5002231,0,0,0
5002232,0,0,0
5002233,0,0,0
5002234,0,0,0
5002235,-1,1,1
5002236,0,0,0
5002237,0,0,0
5002238,0,0,0
5002239,0,0,0
5002241,0,0,0
5002242,0,0,1
5002243,0,0,0
5002244,0,0,0
5002245,0,0,0
5002246,0,0,0
5002247,0,0,0
5002248,0,0,0
5002249,0,0,0
5002250,0,0,0
5002251,0,0,1
5002253,0,0,0
5002254,0,0,0
5002255,0,0,0
5002256,0,0,0
5002257,0,0,0
5002258,0,0,0
5002259,0,0,0
5002260,0,0,0
5002262,0,0,0
5002263,0,0,0
5002264,0,0,0
5002265,0,0,0
5002266,0,0,0
5002267,0,0,0
5002268,0,0,1
5002270,0,0,1
5002271,0,0,1
5002273,-1,1,1
5002274,-1,1,0
5002275,-1,1,0
5002276,-1,1,0
5002277,-1,1,0
5002278,-1,1,0
5002279,-1,1,0
5002280,-1,1,0
5002283,0,0,0
5002285,0,0,1
5002286,0,0,0
5002287,0,0,0
5002289,0,0,0
5002291,0,0,0
5002292,0,0,0
5002293,0,0,0
5002294,0,0,0
5002296,0,0,0
5002297,0,0,0
5002298,0,0,0
5002299,0,0,0
5002300,0,0,0
5002301,0,0,0
5002302,0,0,0
5002303,0,0,0
5002304,0,0,1
5002305,0,0,1
5002306,0,0,1
5002309,0,0,0
5002310,0,0,0
5002311,0,0,0
5002312,0,0,1
5002313,0,0,0
5002314,0,0,0
5002315,0,0,0
5002316,0,0,0
5002317,0,0,1
5002318,-1,1,1
5002319,0,0,1
5002320,0,0,1
5002321,0,0,0
5002322,0,0,1
5002323,0,0,0
5002324,-1,1,0
5002325,-1,1,0
5002326,0,0,0
5002330,0,0,0
5002331,0,0,0
5002332,0,0,0
5002333,0,0,0
5002335,0,0,1
5002336,0,0,1
5002337,0,0,1
5002338,0,0,1
5002339,0,0,1
5002340,0,0,1
5002341,0,0,1
5002342,0,0,0
5002343,0,0,0
5002344,0,0,0
5002345,0,0,0
5002346,0,0,0
5002347,0,0,0
5002348,0,0,1
5002349,0,0,0
5002350,0,0,0
5002351,0,0,0
5002352,0,0,1
5002353,0,0,0
5002354,0,0,0
5002355,0,0,0
5002356,0,0,0
5002360,0,0,0
5002363,-1,1,1
5002364,-1,1,1
5002365,0,0,1
5002368,0,0,1
5002369,0,0,0
5002370,0,0,0
5002373,0,0,1
5002374,0,0,0
5002375,0,0,0
5002376,0,0,1
5002377,0,0,1
5002378,0,0,1
5002380,0,0,0
5002381,0,0,0
5002383,0,0,1
5002384,0,0,0
5002385,0,0,0
5002386,0,0,1
5002387,0,0,1
5002388,0,0,1
5002390,0,0,0
5002391,0,0,0
5002392,0,0,0
5002394,0,0,0
5002395,0,0,0
5002396,0,0,1
5002397,0,0,1
5002398,0,0,0
5002399,0,0,0
5002402,0,0,1
5002403,0,0,0
5002404,0,0,0
5002405,0,0,0
5002408,0,0,1
5002409,0,0,0
5002410,0,0,0
5002411,0,0,0
5002412,0,0,0
5002413,0,0,0
5002418,0,0,0
5002420,0,0,0
5002421,0,0,0
5002422,0,0,0
5002424,0,0,0
5002425,0,0,1
5002426,0,0,0
5002427,0,0,1
5002428,0,0,0
5002429,0,0,0
5002430,0,0,0
5002431,0,0,0
5002432,0,0,0
5002433,0,0,0
5002434,0,0,1
5002435,0,0,1
5002436,0,0,0
5002437,0,0,0
5002438,0,0,0
5002439,0,0,0
5002441,0,0,0
5002443,0,0,0
5002444,0,0,0
5002445,0,0,0
5002446,0,0,0
5002447,0,0,0
5002448,0,0,0
5002449,0,0,0
5002450,0,0,0
5002453,0,0,0
5002454,0,0,0
5002455,0,0,1
5002456,0,0,0
5002457,0,0,0
5002458,0,0,0
5002459,0,0,0
5002460,0,0,0
5002462,0,0,0
5002465,0,0,1
5002467,0,0,0
5002469,0,0,1
5002471,-1,1,1
5002472,0,0,1
5002474,0,0,0
5002475,0,0,0
5002476,0,0,0
5002477,0,0,1
5002479,0,0,0
5002480,0,0,1
5002481,0,0,0
5002482,0,0,0
5002483,0,0,1
5002484,0,0,0
5002485,0,0,0
5002486,0,0,0
5002487,0,0,0
5002488,0,0,0
5002489,0,0,0
5002490,0,0,0
5002491,0,0,0
5002492,0,0,0
5002495,0,0,1
5002496,0,0,1
5002497,0,0,1
5002501,0,0,0
5002502,0,0,0
5002505,0,0,0
5002507,0,0,0
5002508,0,0,0
5002509,0,0,0
5002510,0,0,0
5002511,0,0,0
5002512,0,0,0
5002514,0,0,0
5002515,0,0,1
5002518,0,0,0
5002519,0,0,0
5002520,0,0,0
5002521,0,0,0
5002523,0,0,0
5002524,0,0,0
5002525,0,0,0
5002526,0,0,1
5002527,0,0,0
5002528,0,0,0
5002529,-1,1,1
5002533,0,0,0
5002534,0,0,0
5002537,0,0,0
5002538,0,0,0
5002539,0,0,0
5002540,0,0,0
5002541,0,0,0
5002543,0,0,0
5002544,0,0,0
5002545,0,0,0
5002547,0,0,0
5002548,0,0,0
5002549,0,0,1
5002550,0,0,0
5002551,0,0,0
5002554,0,0,0
5002555,0,0,0
5002556,0,0,0
5002557,0,0,0
5002558,0,0,0
5002559,0,0,0
5002560,0,0,0
5002562,0,0,1
5002563,0,0,1
5002564,0,0,0
5002565,0,0,0
5002566,0,0,0
5002567,0,0,1
5002568,0,0,0
5002570,0,0,0
5002571,0,0,0
5002572,0,0,0
5002573,0,0,0
5002574,0,0,0
5002575,0,0,0
5002576,0,0,1
5002578,0,0,1
5002579,0,0,0
5002581,0,0,0
5002582,0,0,0
5002583,0,0,1
5002584,0,0,0
5002585,0,0,0
5002586,0,0,1
5002587,0,0,1
5002588,0,0,0
5002589,0,0,0
5002590,0,0,0
5002591,0,0,0
5002592,0,0,0
5002593,0,0,0
5002594,0,0,0
5002595,0,0,0
5002597,0,0,0
5002598,0,0,0
5002599,0,0,0
5002601,0,0,0
5002602,0,0,0
5002603,0,0,0
5002604,0,0,0
5002605,0,0,0
5002606,0,0,0
5002607,0,0,0
5002608,0,0,0
5002609,0,0,0
5002611,0,0,0
5002612,0,0,0
5002615,0,0,0
5002616,0,0,0
5002617,0,0,0
5002618,0,0,1
5002619,-1,1,0
5002620,0,0,1
5002621,0,0,0
5002622,0,0,0
5002623,0,0,0
5002624,0,0,0
5002626,0,0,0
5002628,0,0,0
5002629,0,0,0
5002630,0,0,1
5002631,0,0,1
5002633,0,0,0
5002636,0,0,0
5002637,0,0,0
5002638,0,0,0
5002639,0,0,0
5002642,0,0,0
5002644,0,0,0
5002645,0,0,0
5002646,0,0,0
5002647,0,0,0
5002649,0,0,0
5002650,0,0,0
5002651,0,0,1
5002652,0,0,1
5002653,0,0,1
5002654,0,0,0
5002655,0,0,1
5002660,0,0,1
5002661,0,0,0
5002662,0,0,0
5002665,0,0,0
5002666,0,0,0
5002667,0,0,0
5002668,0,0,0
5002669,0,0,0
5002670,0,0,0
5002671,0,0,0
5002672,0,0,0
5002673,0,0,1
5002674,0,0,0
5002675,0,0,0
5002677,0,0,0
5002679,0,0,1
5002680,0,0,0
5002683,0,0,1
5002684,0,0,1
5002685,0,0,1
5002686,0,0,0
5002687,0,0,1
5002688,0,0,0
5002689,0,0,1
5002690,0,0,0
5002691,0,0,0
5002694,0,0,1
5002695,0,0,0
5002696,0,0,0
5002697,0,0,0
5002698,0,0,0
5002699,0,0,1
5002700,0,0,0
5002701,0,0,0
5002702,0,0,1
5002703,0,0,0
5002704,0,0,1
5002705,0,0,1
5002706,0,0,1
5002708,0,0,0
5002709,0,0,0
5002710,0,0,0
5002711,0,0,0
5002713,0,0,1
5002715,0,0,0
5002716,0,0,0
5002717,0,0,0
5002718,0,0,0
5002719,0,0,0
5002720,0,0,0
5002722,0,0,0
5002723,0,0,0
5002725,0,0,1
5002727,0,0,0
5002728,0,0,0
5002729,0,0,0
5002730,0,0,0
5002731,0,0,0
5002732,0,0,0
5002733,0,0,0
5002734,0,0,0
5002735,0,0,0
5002736,0,0,1
5002737,0,0,0
5002738,0,0,0
5002739,0,0,0
5002740,0,0,0
5002741,0,0,0
5002742,0,0,1
5002743,0,0,0
5002744,0,0,0
5002745,0,0,1
5002747,0,0,0
5002749,0,0,0
5002750,0,0,0
5002752,0,0,1
5002753,0,0,0
5002754,0,0,0
5002755,0,0,0
5002756,0,0,0
5002757,0,0,0
5002758,0,0,0
5002759,0,0,0
5002760,0,0,0
5002762,0,0,0
5002763,0,0,0
5002765,0,0,0
5002766,0,0,0
5002767,0,0,1
5002768,0,0,1
5002769,0,0,0
5002770,0,0,0
5002776,0,0,1
5002779,0,0,0
5002780,0,0,0
5002781,0,0,0
5002782,0,0,0
5002783,0,0,0
5002784,0,0,0
5002787,0,0,1
5002788,0,0,1
5002789,0,0,0
5002790,0,0,0
5002791,0,0,0
5002792,0,0,0
5002793,0,0,0
5002795,0,0,0
5002796,0,0,0
5002798,0,0,0
5002799,0,0,0
5002800,0,0,1
5002804,0,0,0
5002805,0,0,1
5002806,0,0,0
5002807,0,0,0
5002808,0,0,0
5002809,0,0,0
5002810,0,0,0
5002811,0,0,0
5002812,0,0,0
5002813,0,0,0
5002814,0,0,0
5002815,0,0,1
5002817,0,0,0
5002818,0,0,1
5002819,0,0,1
5002820,0,0,0
5002821,0,0,1
5002822,0,0,1
5002825,0,0,0
5002827,0,0,0
5002828,0,0,0
5002829,0,0,0
5002830,0,0,0
5002831,0,0,0
5002832,0,0,0
5002833,0,0,0
5002837,0,0,0
5002840,0,0,0
5002841,0,0,0
5002843,0,0,0
5002844,0,0,0
5002845,0,0,0
5002846,0,0,0
5002847,0,0,0
5002848,0,0,0
5002849,0,0,0
5002850,0,0,0
5002851,0,0,0
5002852,0,0,0
5002853,0,0,0
