id,code_gender,flag_own_car,flag_own_realty,cnt_children,amt_income_total,occupation_type,age,employment_period,months_balance,months_from_today,status_y
5008805,M,Y,Y,0,4.275,No Occupation Type,32.89,12.44,0,0,1
5008806,M,Y,Y,0,1.125,Security staff,58.83,3.11,0,0,0
5008808,F,N,Y,0,2.7,Sales staff,52.36,8.36,0,0,1
5008809,F,N,Y,0,2.7,Sales staff,52.36,8.36,-22,22,1
5008810,F,N,Y,0,2.7,Sales staff,52.36,8.36,0,0,0
5008811,F,N,Y,0,2.7,Sales staff,52.36,8.36,0,0,0
5008812,F,N,Y,0,2.835,No Occupation Type,61.55,-1000.67,-4,4,0
5008813,F,N,Y,0,2.835,No Occupation Type,61.55,-1000.67,0,0,0
5008814,F,N,Y,0,2.835,No Occupation Type,61.55,-1000.67,-1,1,0
5008815,M,Y,Y,0,2.7,Accountants,46.22,2.11,0,0,0
5008819,M,Y,Y,0,1.35,Laborers,48.71,3.27,-10,10,1
5008820,M,Y,Y,0,1.35,Laborers,48.71,3.27,-8,8,1
5008821,M,Y,Y,0,1.35,Laborers,48.71,3.27,0,0,0
5008822,M,Y,Y,0,1.35,Laborers,48.71,3.27,-14,14,1
5008823,M,Y,Y,0,1.35,Laborers,48.71,3.27,-3,3,0
5008824,M,Y,Y,0,1.35,Laborers,48.71,3.27,0,0,0
5008825,F,Y,N,0,1.305,Accountants,29.23,3.02,0,0,0
5008826,F,Y,N,0,1.305,Accountants,29.23,3.02,-1,1,0
5008827,M,Y,Y,0,1.8,No Occupation Type,51.43,-1000.67,0,0,0
5008830,F,N,Y,0,1.575,Laborers,27.48,4.02,0,0,0
5008831,F,N,Y,0,1.575,Laborers,27.48,4.02,0,0,0
5008832,F,N,Y,0,1.575,Laborers,27.48,4.02,0,0,0
5008834,F,N,Y,1,1.125,No Occupation Type,30.05,4.44,0,0,0
5008835,F,N,Y,1,1.125,No Occupation Type,30.05,4.44,-28,28,0
5008836,M,Y,Y,3,2.7,Laborers,34.76,3.19,-8,8,1
5008837,M,Y,Y,3,2.7,Laborers,34.76,3.19,-2,2,1
5008838,M,N,Y,1,4.05,Managers,32.44,5.52,-9,9,0
5008839,M,N,Y,1,4.05,Managers,32.44,5.52,0,0,0
5008840,M,N,Y,1,4.05,Managers,32.44,5.52,0,0,0
5008841,M,N,Y,1,4.05,Managers,32.44,5.52,0,0,0
5008842,M,N,Y,1,4.05,Managers,32.44,5.52,0,0,0
5008843,M,N,Y,1,4.05,Managers,32.44,5.52,0,0,0
5008844,M,Y,Y,0,1.125,Drivers,56.17,12.19,-11,11,0
5008846,M,Y,Y,0,1.125,Drivers,56.17,12.19,0,0,0
5008847,M,Y,Y,0,1.125,Drivers,56.17,12.19,-14,14,0
5008849,M,Y,Y,0,1.125,Drivers,56.17,12.19,-40,40,0
5008850,M,Y,Y,0,1.125,Drivers,56.17,12.19,0,0,0
5008851,M,Y,Y,0,1.125,Drivers,56.17,12.19,0,0,0
5008852,M,Y,Y,0,1.125,Drivers,56.17,12.19,0,0,1
5008853,M,Y,Y,0,1.125,Drivers,56.17,12.19,-24,24,0
5008854,F,Y,Y,2,1.35,Laborers,43.18,8.69,-38,38,1
5008855,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008856,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008857,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,1
5008858,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008859,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008860,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008861,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,0
5008862,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,1
5008863,F,Y,Y,2,1.35,Laborers,43.18,8.69,-1,1,1
5008864,F,Y,Y,2,1.35,Laborers,43.18,8.69,0,0,1
5008865,F,Y,Y,2,1.35,Laborers,43.18,8.69,-7,7,1
5008866,F,Y,Y,2,1.35,Laborers,43.18,8.69,-18,18,1
5008867,F,Y,Y,2,1.35,Laborers,43.18,8.69,-22,22,1
5008868,F,N,Y,1,2.115,Core staff,44.42,19.45,0,0,0
5008870,F,N,Y,1,2.115,Core staff,44.42,19.45,-9,9,0
5008872,M,Y,Y,0,3.6,Security staff,45.67,14.7,0,0,0
5008873,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008874,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008875,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008876,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008877,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008878,F,N,Y,2,1.26,Managers,34.0,4.86,-32,32,0
5008879,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008880,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008881,F,N,Y,2,1.26,Managers,34.0,4.86,0,0,0
5008882,F,N,Y,2,1.26,Managers,34.0,4.86,-6,6,0
5008884,F,N,Y,0,3.15,No Occupation Type,55.3,-1000.67,0,0,0
5008888,F,N,Y,0,2.475,Core staff,46.62,3.69,-6,6,0
5008889,F,N,Y,0,2.475,Core staff,46.62,3.69,0,0,0
5008890,F,N,Y,0,2.475,Core staff,46.62,3.69,-43,43,0
5008891,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008892,F,N,Y,0,2.97,Laborers,42.52,8.86,-22,22,1
5008893,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008894,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008895,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008896,F,N,Y,0,2.97,Laborers,42.52,8.86,-19,19,1
5008897,F,N,Y,0,2.97,Laborers,42.52,8.86,-17,17,1
5008898,F,N,Y,0,2.97,Laborers,42.52,8.86,-11,11,1
5008899,F,N,Y,0,2.97,Laborers,42.52,8.86,-15,15,1
5008900,F,N,Y,0,2.97,Laborers,42.52,8.86,-9,9,1
5008901,F,N,Y,0,2.97,Laborers,42.52,8.86,-12,12,1
5008902,F,N,Y,0,2.97,Laborers,42.52,8.86,-7,7,0
5008903,F,N,Y,0,2.97,Laborers,42.52,8.86,-12,12,1
5008904,F,N,Y,0,2.97,Laborers,42.52,8.86,-6,6,0
5008905,F,N,Y,0,2.97,Laborers,42.52,8.86,-10,10,1
5008906,F,N,Y,0,2.97,Laborers,42.52,8.86,-4,4,0
5008907,F,N,Y,0,2.97,Laborers,42.52,8.86,-8,8,1
5008908,F,N,Y,0,2.97,Laborers,42.52,8.86,-2,2,0
5008909,F,N,Y,0,2.97,Laborers,42.52,8.86,-7,7,1
5008910,F,N,Y,0,2.97,Laborers,42.52,8.86,-1,1,0
5008911,F,N,Y,0,2.97,Laborers,42.52,8.86,-6,6,1
5008912,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008913,F,N,Y,0,2.97,Laborers,42.52,8.86,-4,4,1
5008914,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008915,F,N,Y,0,2.97,Laborers,42.52,8.86,-3,3,1
5008916,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008917,F,N,Y,0,2.97,Laborers,42.52,8.86,-2,2,1
5008918,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008919,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008920,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008921,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008922,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008923,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008924,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008925,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008926,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008927,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008928,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008929,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008930,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008931,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008932,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,0
5008933,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008934,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008935,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008936,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008937,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008938,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008939,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008940,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008941,F,N,Y,0,2.97,Laborers,42.52,8.86,0,0,1
5008942,F,N,N,0,1.575,High skill tech staff,37.38,13.28,-28,28,0
5008943,F,N,N,0,1.575,High skill tech staff,37.38,13.28,0,0,1
5008944,F,N,N,0,1.575,High skill tech staff,37.38,13.28,-8,8,0
5008945,F,N,N,0,1.575,High skill tech staff,37.38,13.28,-15,15,0
5008946,F,N,N,0,1.575,High skill tech staff,37.38,13.28,-33,33,0
5008947,M,N,Y,0,1.35,Drivers,42.42,3.86,0,0,1
5008948,M,N,Y,0,1.35,Drivers,42.42,3.86,-5,5,1
5008949,M,N,Y,0,1.35,Drivers,42.42,3.86,0,0,1
5008950,M,N,Y,0,1.35,Drivers,42.42,3.86,0,0,1
5008951,M,N,Y,1,2.25,No Occupation Type,28.28,7.69,0,0,0
5008952,M,N,Y,1,2.25,No Occupation Type,28.28,7.69,-9,9,1
5008953,M,N,Y,1,2.25,No Occupation Type,28.28,7.69,0,0,1
5008954,M,N,Y,1,2.25,No Occupation Type,28.28,7.69,0,0,0
5008955,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008956,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008957,F,Y,Y,0,1.35,Laborers,48.73,4.69,-12,12,0
5008958,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008959,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008960,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008962,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008963,F,Y,Y,0,1.35,Laborers,48.73,4.69,0,0,0
5008966,M,N,Y,0,1.575,No Occupation Type,43.91,2.44,0,0,0
5008967,M,N,Y,0,1.575,No Occupation Type,43.91,2.44,0,0,0
5008971,M,N,Y,0,1.575,No Occupation Type,43.91,2.44,-51,51,0
5008973,M,N,Y,0,1.575,No Occupation Type,43.91,2.44,0,0,0
5008974,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,-47,47,1
5008975,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,-28,28,0
5008976,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,0,0,1
5008977,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,0,0,0
5008978,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,-17,17,0
5008979,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,0,0,0
5008980,F,N,Y,0,1.125,No Occupation Type,61.15,-1000.67,-8,8,0
5008981,M,Y,Y,0,1.125,Drivers,57.19,6.52,0,0,1
5008983,M,Y,Y,0,1.125,Drivers,57.19,6.52,-47,47,1
5008984,M,Y,Y,0,1.125,Drivers,57.19,6.52,0,0,1
5008986,M,Y,Y,0,1.125,Drivers,57.19,6.52,0,0,1
5008987,M,Y,Y,0,1.125,Drivers,57.19,6.52,0,0,0
5008988,M,Y,Y,0,1.125,Drivers,57.19,6.52,0,0,1
5008991,F,Y,Y,0,2.7,Cleaning staff,45.43,3.27,-2,2,0
5008992,F,Y,Y,0,2.7,Cleaning staff,45.43,3.27,0,0,1
5008993,F,Y,Y,0,2.7,Cleaning staff,45.43,3.27,0,0,0
5008994,F,Y,Y,0,2.7,Cleaning staff,45.43,3.27,0,0,0
5008995,F,Y,Y,0,2.7,Cleaning staff,45.43,3.27,-10,10,0
5008998,F,Y,Y,0,2.7,Managers,29.12,2.27,-1,1,1
5008999,F,Y,Y,0,2.7,Managers,29.12,2.27,-21,21,1
5009000,M,Y,Y,0,1.575,Drivers,27.2,2.27,0,0,0
5009001,M,N,Y,0,1.665,Laborers,51.85,17.19,-34,34,0
5009002,M,N,Y,0,1.665,Laborers,51.85,17.19,-38,38,0
5009005,M,N,Y,0,1.665,Laborers,51.85,17.19,-29,29,0
5009006,M,N,Y,0,1.665,Laborers,51.85,17.19,-35,35,0
5009007,M,N,Y,0,1.665,Laborers,51.85,17.19,-49,49,0
5009008,M,N,Y,0,1.665,Laborers,51.85,17.19,-3,3,0
5009009,M,N,Y,0,1.665,Laborers,51.85,17.19,-22,22,0
5009010,M,N,Y,0,1.665,Laborers,51.85,17.19,-6,6,0
5009012,M,N,Y,0,1.665,Laborers,51.85,17.19,0,0,0
5009014,M,N,Y,0,1.665,Laborers,51.85,17.19,-29,29,0
5009016,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,0,0,0
5009018,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,-31,31,0
5009019,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,0,0,0
5009020,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,-8,8,0
5009022,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,-2,2,0
5009023,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,0,0,0
5009024,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,0,0,0
5009025,F,N,Y,2,2.16,No Occupation Type,42.31,8.53,0,0,0
5009027,F,Y,Y,0,2.7,Laborers,54.41,29.71,0,0,0
5009028,F,Y,Y,0,2.25,Laborers,39.59,7.61,-7,7,0
5009029,F,Y,Y,0,2.25,Laborers,39.59,7.61,0,0,1
5009031,F,N,Y,0,3.15,Accountants,28.92,3.27,0,0,1
5009032,F,N,Y,0,3.15,Accountants,28.92,3.27,0,0,1
5009033,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,0,0,0
5009034,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,-14,14,0
5009035,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,0,0,0
5009036,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,0,0,0
5009037,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,0,0,0
5009038,F,N,N,0,2.5515,No Occupation Type,51.18,-1000.67,0,0,0
5009039,F,N,Y,2,1.575,Core staff,39.25,1.52,0,0,1
5009040,F,N,Y,2,1.575,Core staff,39.25,1.52,0,0,1
5009042,F,N,Y,0,1.485,Core staff,48.33,2.44,0,0,0
